date,sku,units,price,on_promo
2025-05-08,CASE-CLEAR,7,14.99,0
2025-05-08,CHARGER-65W,13,39.99,0
2025-05-08,GADGET-MINI,17,24.99,0
2025-05-08,GADGET-PRO,17,49.99,0
2025-05-08,SCREEN-GUARD,7,12.99,0
2025-05-08,STAND-ALU,2,29.99,0
2025-05-08,STICKER-PACK,4,4.99,0
2025-05-08,WIDGET-BLUE,17,19.99,0
2025-05-08,WIDGET-RED,32,19.99,0
2025-05-09,CABLE-USBC,55,9.99,0
2025-05-09,CASE-CLEAR,11,14.99,0
2025-05-09,CHARGER-65W,8,39.99,0
2025-05-09,GADGET-MINI,14,24.99,0
2025-05-09,GADGET-PRO,19,49.99,0
2025-05-09,SCREEN-GUARD,9,12.99,0
2025-05-09,STAND-ALU,2,29.99,0
2025-05-09,STICKER-PACK,3,4.99,0
2025-05-09,WIDGET-BLUE,16,19.99,0
2025-05-09,WIDGET-RED,31,19.99,0
2025-05-10,CABLE-USBC,22,9.99,0
2025-05-10,CASE-CLEAR,11,14.99,0
2025-05-10,CHARGER-65W,30,39.99,0
2025-05-10,GADGET-MINI,11,24.99,0
2025-05-10,GADGET-PRO,19,49.99,0
2025-05-10,SCREEN-GUARD,10,12.99,0
2025-05-10,STAND-ALU,2,29.99,0
2025-05-10,STICKER-PACK,8,4.99,0
2025-05-10,WIDGET-BLUE,14,19.99,0
2025-05-10,WIDGET-RED,32,19.99,0
2025-05-11,CABLE-USBC,49,9.99,0
2025-05-11,CASE-CLEAR,1,14.99,0
2025-05-11,CHARGER-65W,19,39.99,1
2025-05-11,GADGET-MINI,11,24.99,0
2025-05-11,GADGET-PRO,13,49.99,0
2025-05-11,SCREEN-GUARD,13,12.99,0
2025-05-11,STAND-ALU,1,29.99,0
2025-05-11,STICKER-PACK,23,4.99,0
2025-05-11,WIDGET-BLUE,14,19.99,0
2025-05-11,WIDGET-RED,29,19.99,0
2025-05-12,CABLE-USBC,40,9.99,0
2025-05-12,CASE-CLEAR,6,14.99,0
2025-05-12,CHARGER-65W,39,39.99,1
2025-05-12,GADGET-MINI,7,24.99,0
2025-05-12,GADGET-PRO,18,49.99,0
2025-05-12,SCREEN-GUARD,2,12.99,0
2025-05-12,STAND-ALU,8,29.99,0
2025-05-12,STICKER-PACK,1,4.99,0
2025-05-12,WIDGET-BLUE,13,19.99,0
2025-05-12,WIDGET-RED,32,19.99,0
2025-05-13,CABLE-USBC,40,9.99,0
2025-05-13,CASE-CLEAR,10,14.99,0
2025-05-13,CHARGER-65W,8,39.99,0
2025-05-13,GADGET-MINI,19,24.99,0
2025-05-13,GADGET-PRO,14,49.99,0
2025-05-13,SCREEN-GUARD,15,12.99,0
2025-05-13,STAND-ALU,2,29.99,0
2025-05-13,STICKER-PACK,15,4.99,0
2025-05-13,WIDGET-BLUE,25,19.99,0
2025-05-13,WIDGET-RED,23,19.99,0
2025-05-14,CABLE-USBC,59,9.99,0
2025-05-14,CASE-CLEAR,16,14.99,0
2025-05-14,CHARGER-65W,32,39.99,1
2025-05-14,GADGET-MINI,13,24.99,0
2025-05-14,GADGET-PRO,8,49.99,0
2025-05-14,SCREEN-GUARD,5,12.99,0
2025-05-14,STAND-ALU,5,29.99,0
2025-05-14,WIDGET-BLUE,16,19.99,0
2025-05-14,WIDGET-RED,36,19.99,0
2025-05-15,CABLE-USBC,72,9.99,0
2025-05-15,CASE-CLEAR,2,14.99,0
2025-05-15,CHARGER-65W,16,39.99,0
2025-05-15,GADGET-MINI,15,24.99,0
2025-05-15,GADGET-PRO,24,49.99,0
2025-05-15,SCREEN-GUARD,3,12.99,0
2025-05-15,STICKER-PACK,3,4.99,0
2025-05-15,WIDGET-BLUE,45,19.99,0
2025-05-15,WIDGET-RED,50,19.99,0
2025-05-16,CABLE-USBC,42,9.99,0
2025-05-16,CASE-CLEAR,12,14.99,0
2025-05-16,CHARGER-65W,12,39.99,0
2025-05-16,GADGET-MINI,28,24.99,0
2025-05-16,GADGET-PRO,27,49.99,0
2025-05-16,SCREEN-GUARD,27,12.99,0
2025-05-16,STAND-ALU,1,29.99,0
2025-05-16,STICKER-PACK,6,4.99,0
2025-05-16,WIDGET-BLUE,25,19.99,0
2025-05-16,WIDGET-RED,33,19.99,0
2025-05-17,CABLE-USBC,56,9.99,0
2025-05-17,CASE-CLEAR,2,14.99,0
2025-05-17,CHARGER-65W,4,39.99,0
2025-05-17,GADGET-MINI,5,24.99,0
2025-05-17,GADGET-PRO,12,49.99,0
2025-05-17,SCREEN-GUARD,14,12.99,0
2025-05-17,STAND-ALU,3,29.99,0
2025-05-17,STICKER-PACK,1,4.99,0
2025-05-17,WIDGET-BLUE,11,19.99,0
2025-05-17,WIDGET-RED,30,19.99,0
2025-05-18,CABLE-USBC,51,9.99,0
2025-05-18,CASE-CLEAR,13,14.99,0
2025-05-18,CHARGER-65W,11,39.99,0
2025-05-18,GADGET-MINI,8,24.99,0
2025-05-18,GADGET-PRO,12,49.99,0
2025-05-18,SCREEN-GUARD,12,12.99,0
2025-05-18,STICKER-PACK,7,4.99,1
2025-05-18,WIDGET-BLUE,26,19.99,0
2025-05-18,WIDGET-RED,27,19.99,0
2025-05-19,CABLE-USBC,53,9.99,0
2025-05-19,CASE-CLEAR,14,14.99,0
2025-05-19,CHARGER-65W,18,39.99,0
2025-05-19,GADGET-MINI,13,24.99,0
2025-05-19,GADGET-PRO,17,49.99,0
2025-05-19,SCREEN-GUARD,5,12.99,0
2025-05-19,STAND-ALU,4,29.99,0
2025-05-19,STICKER-PACK,13,4.99,0
2025-05-19,WIDGET-BLUE,16,19.99,0
2025-05-19,WIDGET-RED,36,19.99,0
2025-05-20,CABLE-USBC,58,9.99,0
2025-05-20,CASE-CLEAR,5,14.99,0
2025-05-20,CHARGER-65W,15,39.99,0
2025-05-20,GADGET-MINI,5,24.99,0
2025-05-20,GADGET-PRO,20,49.99,0
2025-05-20,SCREEN-GUARD,4,12.99,0
2025-05-20,WIDGET-BLUE,21,19.99,0
2025-05-20,WIDGET-RED,28,19.99,0
2025-05-21,CABLE-USBC,51,9.99,0
2025-05-21,CASE-CLEAR,2,14.99,0
2025-05-21,CHARGER-65W,20,39.99,0
2025-05-21,GADGET-MINI,5,24.99,0
2025-05-21,GADGET-PRO,23,49.99,0
2025-05-21,SCREEN-GUARD,4,12.99,0
2025-05-21,STICKER-PACK,2,4.99,0
2025-05-21,WIDGET-BLUE,17,19.99,0
2025-05-21,WIDGET-RED,25,19.99,0
2025-05-22,CABLE-USBC,46,9.99,0
2025-05-22,CASE-CLEAR,6,14.99,0
2025-05-22,CHARGER-65W,10,39.99,0
2025-05-22,GADGET-MINI,14,24.99,0
2025-05-22,GADGET-PRO,10,49.99,0
2025-05-22,SCREEN-GUARD,15,12.99,1
2025-05-22,STAND-ALU,5,29.99,0
2025-05-22,STICKER-PACK,2,4.99,0
2025-05-22,WIDGET-BLUE,18,19.99,0
2025-05-22,WIDGET-RED,23,19.99,0
2025-05-23,CABLE-USBC,51,9.99,0
2025-05-23,CASE-CLEAR,7,14.99,0
2025-05-23,CHARGER-65W,16,39.99,0
2025-05-23,GADGET-MINI,13,24.99,0
2025-05-23,GADGET-PRO,15,49.99,0
2025-05-23,SCREEN-GUARD,11,12.99,0
2025-05-23,STAND-ALU,3,29.99,0
2025-05-23,STICKER-PACK,2,4.99,0
2025-05-23,WIDGET-BLUE,18,19.99,0
2025-05-23,WIDGET-RED,21,19.99,0
2025-05-24,CABLE-USBC,37,9.99,0
2025-05-24,CASE-CLEAR,7,14.99,0
2025-05-24,CHARGER-65W,28,39.99,0
2025-05-24,GADGET-MINI,9,24.99,0
2025-05-24,GADGET-PRO,17,49.99,0
2025-05-24,SCREEN-GUARD,12,12.99,0
2025-05-24,STAND-ALU,6,29.99,0
2025-05-24,WIDGET-BLUE,22,19.99,0
2025-05-24,WIDGET-RED,23,19.99,0
2025-05-25,CABLE-USBC,30,9.99,0
2025-05-25,CASE-CLEAR,18,14.99,0
2025-05-25,CHARGER-65W,13,39.99,0
2025-05-25,GADGET-MINI,16,24.99,0
2025-05-25,GADGET-PRO,42,49.99,1
2025-05-25,SCREEN-GUARD,8,12.99,0
2025-05-25,STAND-ALU,4,29.99,0
2025-05-25,WIDGET-BLUE,21,19.99,0
2025-05-25,WIDGET-RED,25,19.99,0
2025-05-26,CABLE-USBC,45,9.99,0
2025-05-26,CASE-CLEAR,13,14.99,0
2025-05-26,CHARGER-65W,17,39.99,0
2025-05-26,GADGET-MINI,11,24.99,0
2025-05-26,GADGET-PRO,10,49.99,0
2025-05-26,SCREEN-GUARD,7,12.99,0
2025-05-26,STAND-ALU,4,29.99,0
2025-05-26,STICKER-PACK,5,4.99,0
2025-05-26,WIDGET-BLUE,15,19.99,0
2025-05-26,WIDGET-RED,32,19.99,0
2025-05-27,CABLE-USBC,50,9.99,0
2025-05-27,CASE-CLEAR,8,14.99,0
2025-05-27,CHARGER-65W,15,39.99,0
2025-05-27,GADGET-MINI,5,24.99,0
2025-05-27,GADGET-PRO,14,49.99,0
2025-05-27,SCREEN-GUARD,8,12.99,0
2025-05-27,STAND-ALU,2,29.99,0
2025-05-27,STICKER-PACK,4,4.99,0
2025-05-27,WIDGET-BLUE,17,19.99,0
2025-05-27,WIDGET-RED,21,19.99,0
2025-05-28,CABLE-USBC,44,9.99,0
2025-05-28,CASE-CLEAR,4,14.99,0
2025-05-28,CHARGER-65W,31,39.99,0
2025-05-28,GADGET-MINI,22,24.99,1
2025-05-28,GADGET-PRO,11,49.99,0
2025-05-28,SCREEN-GUARD,9,12.99,0
2025-05-28,STAND-ALU,5,29.99,0
2025-05-28,STICKER-PACK,3,4.99,0
2025-05-28,WIDGET-BLUE,22,19.99,0
2025-05-28,WIDGET-RED,28,19.99,0
2025-05-29,CABLE-USBC,41,9.99,0
2025-05-29,CASE-CLEAR,3,14.99,0
2025-05-29,CHARGER-65W,13,39.99,0
2025-05-29,GADGET-MINI,7,24.99,0
2025-05-29,GADGET-PRO,13,49.99,0
2025-05-29,SCREEN-GUARD,7,12.99,0
2025-05-29,STAND-ALU,4,29.99,0
2025-05-29,STICKER-PACK,1,4.99,0
2025-05-29,WIDGET-BLUE,25,19.99,0
2025-05-29,WIDGET-RED,24,19.99,0
2025-05-30,CABLE-USBC,52,9.99,0
2025-05-30,CASE-CLEAR,5,14.99,0
2025-05-30,CHARGER-65W,17,39.99,0
2025-05-30,GADGET-MINI,6,24.99,0
2025-05-30,GADGET-PRO,21,49.99,0
2025-05-30,SCREEN-GUARD,7,12.99,0
2025-05-30,STAND-ALU,1,29.99,0
2025-05-30,STICKER-PACK,1,4.99,0
2025-05-30,WIDGET-BLUE,29,19.99,0
2025-05-30,WIDGET-RED,22,19.99,0
2025-05-31,CABLE-USBC,53,9.99,0
2025-05-31,CASE-CLEAR,9,14.99,0
2025-05-31,CHARGER-65W,14,39.99,0
2025-05-31,GADGET-MINI,7,24.99,0
2025-05-31,GADGET-PRO,23,49.99,0
2025-05-31,SCREEN-GUARD,4,12.99,0
2025-05-31,STAND-ALU,3,29.99,0
2025-05-31,STICKER-PACK,8,4.99,0
2025-05-31,WIDGET-BLUE,26,19.99,0
2025-05-31,WIDGET-RED,28,19.99,0
2025-06-01,CABLE-USBC,70,9.99,0
2025-06-01,CASE-CLEAR,15,14.99,0
2025-06-01,CHARGER-65W,31,39.99,0
2025-06-01,GADGET-MINI,41,24.99,1
2025-06-01,GADGET-PRO,18,49.99,0
2025-06-01,SCREEN-GUARD,7,12.99,0
2025-06-01,STAND-ALU,10,29.99,0
2025-06-01,STICKER-PACK,17,4.99,0
2025-06-01,WIDGET-BLUE,18,19.99,0
2025-06-01,WIDGET-RED,30,19.99,0
2025-06-02,CABLE-USBC,77,9.99,0
2025-06-02,CASE-CLEAR,13,14.99,0
2025-06-02,CHARGER-65W,22,39.99,0
2025-06-02,GADGET-MINI,13,24.99,0
2025-06-02,GADGET-PRO,27,49.99,0
2025-06-02,SCREEN-GUARD,16,12.99,1
2025-06-02,STAND-ALU,4,29.99,1
2025-06-02,WIDGET-BLUE,41,19.99,0
2025-06-02,WIDGET-RED,30,19.99,0
2025-06-03,CABLE-USBC,52,9.99,0
2025-06-03,CASE-CLEAR,13,14.99,1
2025-06-03,CHARGER-65W,9,39.99,0
2025-06-03,GADGET-MINI,32,24.99,1
2025-06-03,GADGET-PRO,40,49.99,1
2025-06-03,SCREEN-GUARD,5,12.99,0
2025-06-03,STAND-ALU,8,29.99,0
2025-06-03,STICKER-PACK,2,4.99,0
2025-06-03,WIDGET-BLUE,18,19.99,0
2025-06-03,WIDGET-RED,32,19.99,0
2025-06-04,CABLE-USBC,41,9.99,0
2025-06-04,CASE-CLEAR,21,14.99,0
2025-06-04,CHARGER-65W,9,39.99,0
2025-06-04,GADGET-MINI,7,24.99,0
2025-06-04,GADGET-PRO,11,49.99,0
2025-06-04,SCREEN-GUARD,12,12.99,0
2025-06-04,STICKER-PACK,2,4.99,0
2025-06-04,WIDGET-BLUE,22,19.99,0
2025-06-04,WIDGET-RED,14,19.99,0
2025-06-05,CABLE-USBC,55,9.99,0
2025-06-05,CASE-CLEAR,5,14.99,0
2025-06-05,CHARGER-65W,18,39.99,0
2025-06-05,GADGET-MINI,6,24.99,0
2025-06-05,GADGET-PRO,4,49.99,0
2025-06-05,SCREEN-GUARD,8,12.99,0
2025-06-05,STAND-ALU,5,29.99,0
2025-06-05,STICKER-PACK,4,4.99,0
2025-06-05,WIDGET-BLUE,26,19.99,0
2025-06-05,WIDGET-RED,35,19.99,0
2025-06-06,CABLE-USBC,41,9.99,0
2025-06-06,CASE-CLEAR,8,14.99,0
2025-06-06,CHARGER-65W,18,39.99,0
2025-06-06,GADGET-MINI,6,24.99,0
2025-06-06,GADGET-PRO,13,49.99,0
2025-06-06,SCREEN-GUARD,8,12.99,0
2025-06-06,STAND-ALU,2,29.99,0
2025-06-06,STICKER-PACK,8,4.99,0
2025-06-06,WIDGET-BLUE,26,19.99,0
2025-06-06,WIDGET-RED,28,19.99,0
2025-06-07,CABLE-USBC,74,9.99,0
2025-06-07,CASE-CLEAR,14,14.99,1
2025-06-07,CHARGER-65W,12,39.99,0
2025-06-07,GADGET-MINI,5,24.99,0
2025-06-07,GADGET-PRO,8,49.99,0
2025-06-07,SCREEN-GUARD,11,12.99,0
2025-06-07,STAND-ALU,3,29.99,0
2025-06-07,STICKER-PACK,1,4.99,0
2025-06-07,WIDGET-BLUE,28,19.99,0
2025-06-07,WIDGET-RED,31,19.99,0
2025-06-08,CABLE-USBC,61,9.99,0
2025-06-08,CASE-CLEAR,3,14.99,0
2025-06-08,CHARGER-65W,19,39.99,0
2025-06-08,GADGET-MINI,5,24.99,0
2025-06-08,GADGET-PRO,25,49.99,0
2025-06-08,SCREEN-GUARD,6,12.99,0
2025-06-08,STAND-ALU,4,29.99,0
2025-06-08,STICKER-PACK,8,4.99,0
2025-06-08,WIDGET-BLUE,34,19.99,0
2025-06-08,WIDGET-RED,20,19.99,0
2025-06-09,CABLE-USBC,44,9.99,0
2025-06-09,CASE-CLEAR,2,14.99,0
2025-06-09,CHARGER-65W,11,39.99,0
2025-06-09,GADGET-MINI,11,24.99,0
2025-06-09,GADGET-PRO,20,49.99,0
2025-06-09,SCREEN-GUARD,9,12.99,0
2025-06-09,STICKER-PACK,18,4.99,0
2025-06-09,WIDGET-BLUE,33,19.99,1
2025-06-09,WIDGET-RED,24,19.99,0
2025-06-10,CABLE-USBC,39,9.99,0
2025-06-10,CASE-CLEAR,7,14.99,0
2025-06-10,CHARGER-65W,20,39.99,0
2025-06-10,GADGET-MINI,7,24.99,0
2025-06-10,GADGET-PRO,6,49.99,0
2025-06-10,SCREEN-GUARD,13,12.99,1
2025-06-10,STAND-ALU,3,29.99,1
2025-06-10,STICKER-PACK,13,4.99,0
2025-06-10,WIDGET-BLUE,21,19.99,0
2025-06-10,WIDGET-RED,16,19.99,0
2025-06-11,CABLE-USBC,37,9.99,0
2025-06-11,CASE-CLEAR,11,14.99,0
2025-06-11,CHARGER-65W,10,39.99,0
2025-06-11,GADGET-MINI,17,24.99,0
2025-06-11,GADGET-PRO,14,49.99,0
2025-06-11,SCREEN-GUARD,8,12.99,0
2025-06-11,STAND-ALU,8,29.99,0
2025-06-11,STICKER-PACK,5,4.99,0
2025-06-11,WIDGET-BLUE,15,19.99,0
2025-06-11,WIDGET-RED,29,19.99,0
2025-06-12,CABLE-USBC,43,9.99,0
2025-06-12,CASE-CLEAR,2,14.99,0
2025-06-12,CHARGER-65W,21,39.99,0
2025-06-12,GADGET-MINI,8,24.99,0
2025-06-12,GADGET-PRO,7,49.99,0
2025-06-12,SCREEN-GUARD,6,12.99,0
2025-06-12,STAND-ALU,5,29.99,1
2025-06-12,STICKER-PACK,2,4.99,0
2025-06-12,WIDGET-BLUE,28,19.99,0
2025-06-12,WIDGET-RED,26,19.99,1
2025-06-13,CABLE-USBC,43,9.99,0
2025-06-13,CASE-CLEAR,4,14.99,0
2025-06-13,CHARGER-65W,9,39.99,0
2025-06-13,GADGET-MINI,8,24.99,0
2025-06-13,GADGET-PRO,10,49.99,0
2025-06-13,SCREEN-GUARD,9,12.99,1
2025-06-13,STAND-ALU,1,29.99,0
2025-06-13,STICKER-PACK,4,4.99,0
2025-06-13,WIDGET-BLUE,14,19.99,0
2025-06-13,WIDGET-RED,21,19.99,0
2025-06-14,CABLE-USBC,42,9.99,0
2025-06-14,CASE-CLEAR,7,14.99,0
2025-06-14,CHARGER-65W,20,39.99,0
2025-06-14,GADGET-MINI,10,24.99,0
2025-06-14,GADGET-PRO,11,49.99,0
2025-06-14,SCREEN-GUARD,12,12.99,0
2025-06-14,STAND-ALU,1,29.99,0
2025-06-14,STICKER-PACK,8,4.99,0
2025-06-14,WIDGET-BLUE,24,19.99,0
2025-06-14,WIDGET-RED,46,19.99,0
2025-06-15,CABLE-USBC,82,9.99,0
2025-06-15,CASE-CLEAR,6,14.99,0
2025-06-15,CHARGER-65W,17,39.99,0
2025-06-15,GADGET-MINI,21,24.99,0
2025-06-15,GADGET-PRO,36,49.99,0
2025-06-15,SCREEN-GUARD,9,12.99,0
2025-06-15,STAND-ALU,6,29.99,0
2025-06-15,STICKER-PACK,15,4.99,0
2025-06-15,WIDGET-BLUE,26,19.99,0
2025-06-15,WIDGET-RED,34,19.99,0
2025-06-16,CABLE-USBC,55,9.99,0
2025-06-16,CASE-CLEAR,15,14.99,0
2025-06-16,CHARGER-65W,22,39.99,0
2025-06-16,GADGET-MINI,4,24.99,0
2025-06-16,GADGET-PRO,22,49.99,0
2025-06-16,SCREEN-GUARD,9,12.99,0
2025-06-16,STAND-ALU,6,29.99,0
2025-06-16,STICKER-PACK,4,4.99,0
2025-06-16,WIDGET-BLUE,18,19.99,0
2025-06-16,WIDGET-RED,24,19.99,0
2025-06-17,CABLE-USBC,51,9.99,0
2025-06-17,CASE-CLEAR,3,14.99,0
2025-06-17,CHARGER-65W,8,39.99,0
2025-06-17,GADGET-MINI,9,24.99,0
2025-06-17,GADGET-PRO,20,49.99,0
2025-06-17,SCREEN-GUARD,7,12.99,0
2025-06-17,STAND-ALU,4,29.99,0
2025-06-17,STICKER-PACK,4,4.99,0
2025-06-17,WIDGET-BLUE,18,19.99,0
2025-06-17,WIDGET-RED,24,19.99,0
2025-06-18,CABLE-USBC,56,9.99,0
2025-06-18,CASE-CLEAR,9,14.99,0
2025-06-18,CHARGER-65W,15,39.99,0
2025-06-18,GADGET-MINI,4,24.99,0
2025-06-18,GADGET-PRO,20,49.99,0
2025-06-18,SCREEN-GUARD,1,12.99,0
2025-06-18,STAND-ALU,4,29.99,0
2025-06-18,STICKER-PACK,2,4.99,0
2025-06-18,WIDGET-BLUE,8,19.99,0
2025-06-18,WIDGET-RED,28,19.99,0
2025-06-19,CABLE-USBC,65,9.99,0
2025-06-19,CASE-CLEAR,4,14.99,0
2025-06-19,CHARGER-65W,24,39.99,0
2025-06-19,GADGET-MINI,16,24.99,1
2025-06-19,GADGET-PRO,17,49.99,0
2025-06-19,SCREEN-GUARD,14,12.99,0
2025-06-19,STAND-ALU,5,29.99,0
2025-06-19,STICKER-PACK,12,4.99,0
